rank,experiment_id,embedding_model,classifier_type,overlap_proportion,param_details,val_f1,val_precision,val_recall,val_accuracy,runtime_sec,status
1,12,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=10, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,32.70,success
2,15,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=20, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,31.35,success
3,18,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=None, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,31.88,success
4,21,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=10, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,51.62,success
5,24,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=20, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,51.80,success
6,27,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=None, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,51.88,success
7,30,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=10, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,65.21,success
8,33,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=20, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,64.55,success
9,36,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=None, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,65.12,success
10,11,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=10, min_samples_leaf=1",0.9495,0.9592,0.9400,0.9667,32.03,success
11,7,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=None, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,3973.45,success
12,14,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=20, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,31.64,success
13,17,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=None, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,31.86,success
14,20,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=10, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,52.02,success
15,22,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=10, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,51.52,success
16,23,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=20, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,51.94,success
17,25,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=20, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,51.41,success
18,26,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=None, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,51.77,success
19,28,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,51.93,success
20,29,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=10, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,64.84,success
21,31,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=10, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,64.62,success
22,32,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=20, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,65.34,success
23,34,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=20, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,65.27,success
24,35,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=None, min_samples_leaf=1",0.9485,0.9787,0.9200,0.9667,64.85,success
25,37,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=500, max_depth=None, min_samples_leaf=5",0.9485,0.9787,0.9200,0.9667,64.92,success
26,6,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.25,"learning_rate=0.001, batch_size=32, epochs=100",0.9423,0.9074,0.9800,0.9600,23.27,success
